Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,InChI,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,
"Porphobilinogen","C10H14N2O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H14N2O4/c11-4-8-7(3-10(15)16)6(5-12-8)1-2-9(13)14/h5,12H,1-4,11H2,(H,13,14)(H,15,16)",,,,,,,,,,
"Taurine","C2H7NO3S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",,,,,,,,,,
"Succinic acid","C4H6O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",,,,,,,,,,
"Thiosulfate","O3S2",0.00000,"[M+H]+","[M-H]-","InChI=1S/H2O3S2/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,,,,,,,,,
"Sucrose","C12H22O11",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",,,,,,,,,,
"Thymine","C5H6N2O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)",,,,,,,,,,
"Phosphoenolpyruvic acid","C3H5O6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)",,,,,,,,,,
"Phosphoserine","C3H8NO6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H8NO6P/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H2,7,8,9)/t2-/m0/s1",,,,,,,,,,
"Thymidine","C10H14N2O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1",,,,,,,,,,
"Phosphoribosyl pyrophosphate","C5H13O14P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H13O14P3/c6-3-2(1-16-20(8,9)10)17-5(4(3)7)18-22(14,15)19-21(11,12)13/h2-7H,1H2,(H,14,15)(H2,8,9,10)(H2,11,12,13)/t2-,3-,4-,5-/m1/s1",,,,,,,,,,
"Ribose","C5H10O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H10O5/c6-1-2-3(7)4(8)5(9)10-2/h2-9H,1H2/t2-,3-,4-,5?/m1/s1",,,,,,,,,,
"Uridine triphosphate","C9H15N2O15P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H15N2O15P3/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",,,,,,,,,,
"Uridine 5'-monophosphate","C9H13N2O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",,,,,,,,,,
"Uridine 5'-diphosphate","C9H14N2O12P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",,,,,,,,,,
"Uridine","C9H12N2O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",,,,,,,,,,
"Xanthosine","C10H12N4O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H12N4O6/c15-1-3-5(16)6(17)9(20-3)14-2-11-4-7(14)12-10(19)13-8(4)18/h2-3,5-6,9,15-17H,1H2,(H2,12,13,18,19)/t3-,5-,6-,9-/m1/s1",,,,,,,,,,
"Uracil","C4H4N2O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",,,,,,,,,,
"Uridine diphosphategalactose","C15H24N2O17P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8+,9-,10+,11-,12-,13-,14-/m1/s1",,,,,,,,,,
"3,4-Dihydroxyphenylglycol","C8H10O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H10O4/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8-12H,4H2",,,,,,,,,,
"2-Isopropylmalic acid","C7H12O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)/t7-/m0/s1",,,,,,,,,,
"Caprylic acid","C8H16O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)",,,,,,,,,,
"3-Methyl-2-oxovaleric acid","C6H10O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",,,,,,,,,,
"Water","H2O",0.00000,"[M+H]+","[M-H]-","InChI=1S/H2O/h1H2",,,,,,,,,,
"4-Hydroxybenzoic acid","C7H6O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",,,,,,,,,,
"b-D-Glucose","C6H12O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1",,,,,,,,,,
"L-Arginine","C6H14N4O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",,,,,,,,,,
"4,5-Dihydroorotic acid","C5H6N2O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H6N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h2H,1H2,(H,9,10)(H2,6,7,8,11)",,,,,,,,,,
"Adenosine triphosphate","C10H16N5O13P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"Magnesium","Mg",0.00000,"[M+H]+","[M-H]-","InChI=1S/Mg/q+2",,,,,,,,,,
"L-Cysteine","C3H7NO2S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1",,,,,,,,,,
"Hydrogen carbonate","CHO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-1",,,,,,,,,,
"Sulfide","S",0.00000,"[M+H]+","[M-H]-","InChI=1S/S/q-2",,,,,,,,,,
"D-2-Hydroxyglutaric acid","C5H8O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)",,,,,,,,,,
"PS(16:0/16:0)","C38H74NO10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C38H74NO10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-36(40)46-31-34(32-47-50(44,45)48-33-35(39)38(42)43)49-37(41)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h34-35H,3-33,39H2,1-2H3,(H,42,43)(H,44,45)/t34-,35+/m1/s1",,,,,,,,,,
"Gluconic acid","C6H12O7",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1",,,,,,,,,,
"Cytosine","C4H5N3O",0.00000,"[M+H]+","[M-H]-","InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)",,,,,,,,,,
"L-Glutamine","C5H10N2O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",,,,,,,,,,
"L-Arabinose","C5H10O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",,,,,,,,,,
"Copper","Cu",0.00000,"[M+H]+","[M-H]-","InChI=1S/Cu/q+2",,,,,,,,,,
"D-Fructose","C6H12O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H12O6/c7-1-3-4(9)5(10)6(11,2-8)12-3/h3-5,7-11H,1-2H2/t3-,4-,5+,6-/m1/s1",,,,,,,,,,
"PA(16:0/16:0)","C35H69O8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C35H69O8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(36)41-31-33(32-42-44(38,39)40)43-35(37)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h33H,3-32H2,1-2H3,(H2,38,39,40)/t33-/m1/s1",,,,,,,,,,
"L-Leucine","C6H13NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",,,,,,,,,,
"Iron","Fe",0.00000,"[M+H]+","[M-H]-","InChI=1S/Fe/q+2",,,,,,,,,,
"Ketoleucine","C6H10O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",,,,,,,,,,
"L-Methionine","C5H11NO2S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",,,,,,,,,,
"4-Hydroxyphenylpyruvic acid","C9H8O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)",,,,,,,,,,
"Isovaleric acid","C5H10O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)",,,,,,,,,,
"Methylcitric acid","C7H10O7",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)",,,,,,,,,,
"Hydroxyproline","C5H9NO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1",,,,,,,,,,
"Cysteine-S-sulfate","C3H7NO5S2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H7NO5S2/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)/t2-/m0/s1",,,,,,,,,,
"Indole","C8H7N",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",,,,,,,,,,
"Homocarnosine","C10H16N4O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H16N4O3/c11-3-1-2-9(15)14-8(10(16)17)4-7-5-12-6-13-7/h5-6,8H,1-4,11H2,(H,12,13)(H,14,15)(H,16,17)/t8-/m0/s1",,,,,,,,,,
"SAICAR","C13H19N4O12P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C13H19N4O12P/c14-10-7(11(22)16-4(13(23)24)1-6(18)19)15-3-17(10)12-9(21)8(20)5(29-12)2-28-30(25,26)27/h3-5,8-9,12,20-21H,1-2,14H2,(H,16,22)(H,18,19)(H,23,24)(H2,25,26,27)/t4-,5+,8+,9+,12+/m0/s1",,,,,,,,,,
"Pyrrolidonecarboxylic acid","C5H7NO3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1",,,,,,,,,,
"Ureidosuccinic acid","C5H8N2O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H8N2O5/c6-5(12)7-2(4(10)11)1-3(8)9/h2H,1H2,(H,8,9)(H,10,11)(H3,6,7,12)/t2-/m0/s1",,,,,,,,,,
"N-Acetyl-b-D-galactosamine","C8H15NO6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6+,7-,8-/m1/s1",,,,,,,,,,
"Nicotinamide riboside","C11H15N2O5",0.00000,"[M+H]+","[M-H]-","InChI=1S/C11H14N2O5/c12-10(17)6-2-1-3-13(4-6)11-9(16)8(15)7(5-14)18-11/h1-4,7-9,11,14-16H,5H2,(H-,12,17)/p+1/t7-,8-,9-,11-/m1/s1",,,,,,,,,,
"L-Valine","C5H11NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",,,,,,,,,,
"NAD","C21H28N7O14P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-",,,,,,,,,,
"Citrulline","C6H13N3O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",,,,,,,,,,
"Deoxyadenosine monophosphate","C10H14N5O6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1",,,,,,,,,,
"L-Tryptophan","C11H12N2O2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",,,,,,,,,,
"S-Adenosylhomocysteine","C14H20N6O5S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",,,,,,,,,,
"dGDP","C10H15N5O10P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H15N5O10P2/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(24-6)2-23-27(21,22)25-26(18,19)20/h3-6,16H,1-2H2,(H,21,22)(H2,18,19,20)(H3,11,13,14,17)/t4-,5+,6+/m0/s1",,,,,,,,,,
"Farnesyl pyrophosphate","C15H28O7P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C15H28O7P2/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-21-24(19,20)22-23(16,17)18/h7,9,11H,5-6,8,10,12H2,1-4H3,(H,19,20)(H2,16,17,18)/b14-9+,15-11+",,,,,,,,,,
"N10-Formyl-THF","C20H23N7O7",0.00000,"[M+H]+","[M-H]-","InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/t11?,13-/m0/s1",,,,,,,,,,
"Trehalose","C12H22O11",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1",,,,,,,,,,
"Dihydrolipoamide","C8H17NOS2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H17NOS2/c9-8(10)4-2-1-3-7(12)5-6-11/h7,11-12H,1-6H2,(H2,9,10)",,,,,,,,,,
"S-Adenosylmethioninamine","C14H23N6O3S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C14H23N6O3S/c1-24(4-2-3-15)5-8-10(21)11(22)14(23-8)20-7-19-9-12(16)17-6-18-13(9)20/h6-8,10-11,14,21-22H,2-5,15H2,1H3,(H2,16,17,18)/q+1/t8-,10-,11-,14-,24?/m1/s1",,,,,,,,,,
"Acetaldehyde","C2H4O",0.00000,"[M+H]+","[M-H]-","InChI=1S/C2H4O/c1-2-3/h2H,1H3",,,,,,,,,,
"dCTP","C9H16N3O13P3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H16N3O13P3/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(23-8)4-22-27(18,19)25-28(20,21)24-26(15,16)17/h1-2,5-6,8,13H,3-4H2,(H,18,19)(H,20,21)(H2,10,11,14)(H2,15,16,17)/t5-,6+,8+/m0/s1",,,,,,,,,,
"Phosphoribosylformylglycineamidine","C8H16N3O8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H16N3O8P/c9-5(1-10-3-12)11-8-7(14)6(13)4(19-8)2-18-20(15,16)17/h3-4,6-8,13-14H,1-2H2,(H2,9,11)(H,10,12)(H2,15,16,17)/t4-,6-,7-,8-/m1/s1",,,,,,,,,,
"dUDP","C9H14N2O11P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H14N2O11P2/c12-5-3-8(11-2-1-7(13)10-9(11)14)21-6(5)4-20-24(18,19)22-23(15,16)17/h1-2,5-6,8,12H,3-4H2,(H,18,19)(H,10,13,14)(H2,15,16,17)/t5-,6+,8+/m0/s1",,,,,,,,,,
"Adenosine phosphosulfate","C10H14N5O10PS",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H14N5O10PS/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-26(18,19)25-27(20,21)22/h2-4,6-7,10,16-17H,1H2,(H,18,19)(H2,11,12,13)(H,20,21,22)/t4-,6-,7-,10-/m1/s1",,,,,,,,,,
"(S)-Ureidoglycolic acid","C3H6N2O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H6N2O4/c4-3(9)5-1(6)2(7)8/h1,6H,(H,7,8)(H3,4,5,9)/t1-/m0/s1",,,,,,,,,,
"Argininosuccinic acid","C10H18N4O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H18N4O6/c11-5(8(17)18)2-1-3-13-10(12)14-6(9(19)20)4-7(15)16/h5-6H,1-4,11H2,(H,15,16)(H,17,18)(H,19,20)(H3,12,13,14)/t5-,6-/m0/s1",,,,,,,,,,
"D-4'-Phosphopantothenate","C9H18NO8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C9H18NO8P/c1-9(2,5-18-19(15,16)17)7(13)8(14)10-4-3-6(11)12/h7,13H,3-5H2,1-2H3,(H,10,14)(H,11,12)(H2,15,16,17)",,,,,,,,,,
"Phosphohydroxypyruvic acid","C3H5O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H5O7P/c4-2(3(5)6)1-10-11(7,8)9/h1H2,(H,5,6)(H2,7,8,9)",,,,,,,,,,
"Deoxyribose 5-phosphate","C5H11O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H11O7P/c6-3-1-5(7)12-4(3)2-11-13(8,9)10/h3-7H,1-2H2,(H2,8,9,10)/t3-,4+,5+/m0/s1",,,,,,,,,,
"2'-Deoxyguanosine 5'-monophosphate","C10H14N5O7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C10H14N5O7P/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(22-6)2-21-23(18,19)20/h3-6,16H,1-2H2,(H2,18,19,20)(H3,11,13,14,17)/t4-,5+,6+/m0/s1",,,,,,,,,,
"gamma-Glutamylcysteine","C8H14N2O5S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H14N2O5S/c9-4(7(12)13)1-2-6(11)10-5(3-16)8(14)15/h4-5,16H,1-3,9H2,(H,10,11)(H,12,13)(H,14,15)/t4-,5-/m0/s1",,,,,,,,,,
"D-Glyceraldehyde","C3H6O3",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H6O3/c4-1-3(6)2-5/h1,3,5-6H,2H2",,,,,,,,,,
"Dihydrofolic acid","C19H21N7O6",0.00000,"[M+H]+","[M-H]-","InChI=1S/C19H21N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,12,21H,5-8H2,(H,24,29)(H,27,28)(H,31,32)(H4,20,22,25,26,30)/t12-/m0/s1",,,,,,,,,,
"Fructose 1,6-bisphosphate","C6H14O12P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H14O12P2/c7-4-3(1-16-19(10,11)12)18-6(9,5(4)8)2-17-20(13,14)15/h3-5,7-9H,1-2H2,(H2,10,11,12)(H2,13,14,15)/t3-,4-,5+,6+/m1/s1",,,,,,,,,,
"N-Acetyl-D-Glucosamine 6-Phosphate","C8H16NO9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C8H16NO9P/c1-3(10)9-5-7(12)6(11)4(18-8(5)13)2-17-19(14,15)16/h4-8,11-13H,2H2,1H3,(H,9,10)(H2,14,15,16)/t4-,5-,6-,7-,8?/m1/s1",,,,,,,,,,
"S-Lactoylglutathione","C13H21N3O8S",0.00000,"[M+H]+","[M-H]-","InChI=1S/C13H21N3O8S/c1-6(17)13(24)25-5-8(11(21)15-4-10(19)20)16-9(18)3-2-7(14)12(22)23/h6-8,17H,2-5,14H2,1H3,(H,15,21)(H,16,18)(H,19,20)(H,22,23)/t6-,7+,8+/m1/s1",,,,,,,,,,
"D-Sedoheptulose 7-phosphate","C7H15O10P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H15O10P/c8-2-7(12)6(11)5(10)4(9)3(17-7)1-16-18(13,14)15/h3-6,8-12H,1-2H2,(H2,13,14,15)/t3-,4-,5-,6+,7?/m1/s1",,,,,,,,,,
"Fructose 1-phosphate","C6H13O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H13O9P/c7-1-3-4(8)5(9)6(10,15-3)2-14-16(11,12)13/h3-5,7-10H,1-2H2,(H2,11,12,13)/t3-,4-,5+,6-/m1/s1",,,,,,,,,,
"5-Methyltetrahydropteroyltri-L-glutamic acid","C25H36N8O12",0.00000,"[M+H]+","[M-H]-","InChI=1S/C25H36N8O12/c1-10(43-22(40)11(26)3-6-15(34)35)19(44-23(41)12(27)4-7-16(36)37)14-9-30-20-18(33(14)2)21(32-25(29)31-20)45-24(42)13(28)5-8-17(38)39/h9-13,19H,3-8,26-28H2,1-2H3,(H,34,35)(H,36,37)(H,38,39)(H3,29,30,31,32)/t10?,11-,12-,13-,19?/m0/s1",,,,,,,,,,
"Carbamoylphosphate","CH4NO5P",0.00000,"[M+H]+","[M-H]-","InChI=1S/CH4NO5P/c2-1(3)7-8(4,5)6/h(H2,2,3)(H2,4,5,6)",,,,,,,,,,
"Protoporphyrinogen IX","C34H40N4O4",0.00000,"[M+H]+","[M-H]-","InChI=1S/C34H40N4O4/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25/h7-8,35-38H,1-2,9-16H2,3-6H3,(H,39,40)(H,41,42)",,,,,,,,,,
"Glucosamine-1P","C6H14NO8P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H14NO8P/c7-3-5(10)4(9)2(1-8)14-6(3)15-16(11,12)13/h2-6,8-10H,1,7H2,(H2,11,12,13)/t2-,3-,4-,5-,6+/m1/s1",,,,,,,,,,
"D-Glyceraldehyde 3-phosphate","C3H7O6P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)",,,,,,,,,,
"4-Phosphopantothenoylcysteine","C12H23N2O9PS",0.00000,"[M+H]+","[M-H]-","InChI=1S/C12H23N2O9PS/c1-12(2,6-23-24(20,21)22)9(16)10(17)13-4-3-8(15)14-7(5-25)11(18)19/h7,9,16,25H,3-6H2,1-2H3,(H,13,17)(H,14,15)(H,18,19)(H2,20,21,22)/t7-,9-/m0/s1",,,,,,,,,,
"Dimethylallylpyrophosphate","C5H12O7P2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H12O7P2/c1-5(2)3-4-11-14(9,10)12-13(6,7)8/h3H,4H2,1-2H3,(H,9,10)(H2,6,7,8)",,,,,,,,,,
"2-Aminobenzoic acid","C7H7NO2",0.00000,"[M+H]+","[M-H]-","InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)",,,,,,,,,,
"6-Phosphonoglucono-D-lactone","C6H11O9P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C6H11O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-5,7-9H,1H2,(H2,11,12,13)/t2-,3-,4+,5-/m1/s1",,,,,,,,,,
"5-Phosphoribosylamine","C5H12NO7P",0.00000,"[M+H]+","[M-H]-","InChI=1S/C5H12NO7P/c6-5-4(8)3(7)2(13-5)1-12-14(9,10)11/h2-5,7-8H,1,6H2,(H2,9,10,11)/t2-,3-,4-,5-/m1/s1",,,,,,,,,,
