mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,AR351_A,AR351_B,AR351_C,Cipro_A,Cipro_B,Cipro_C,Coumermycin_A,Coumermycin_B,Coumermycin_C,CN-DM-861_A,CN-DM-861_B,CN-DM-861_C,Levo_A,Levo_B,Levo_C,Lome_A,Lome_B,Lome_C,Novo_A,Novo_B,Novo_C,untreated_A,untreated_B,untreated_C,isotopes,iso_anno,adduct,pcgroup
388.7112484,388.7109855,388.7115893,70.1100235,70.05734253,70.212,4,1158.106915,1910.081667,1254.044405,1152.587854,1482.876351,1102.954785,388.1132345,213.8234643,293.8073284,1427.851008,1581.005609,1963.886001,1425.599889,2918.578208,1572.080583,1457.817727,1072.199303,1625.140164,1209.675162,780.9222521,495.5944468,1458.309293,2105.861356,2349.957627,,0,,85
390.7086003,390.7083752,390.709017,70.1100235,69.7997818,70.212,4,1183.264922,1725.671087,1151.293397,1128.401982,1416.247008,897.213812,201.8313214,72.4569813,187.3867279,1012.470746,1204.375686,1889.944417,1399.357617,2153.108766,1404.036715,1250.719178,1022.561838,1178.918848,720.3685508,376.2396281,495.1537561,1351.046589,2138.013219,2130.232589,,0,,338
390.7981911,390.798144,390.7983154,68.668,68.61545563,68.89729309,3,1932.440639,2637.822446,2413.915622,1540.822579,1636.358378,1232.70457,880.8552105,745.8765332,775.2799357,914.2762072,1341.428672,1818.635885,1006.69459,2100.371784,1662.838202,1274.921704,866.2675502,1865.020845,784.5199292,849.3902018,463.4616456,1013.361863,1362.060805,2103.017966,,0,[M+Na]+ 367.809,35
391.1818502,391.1814366,391.1821809,74.23231125,73.69166565,74.91419983,24,14638.74812,16413.20972,11175.45705,11280.38638,26082.53258,15673.60836,13518.03117,12698.78184,11172.48774,9144.726734,18285.82216,18092.45387,7189.779915,21609.86084,20547.58734,10444.87759,6533.795968,18970.31386,5058.46869,5648.344628,6977.087003,5269.438672,6392.470076,5419.653439,,0,,309
392.7950677,392.7948969,392.795513,68.64789999,68.23587799,69.22106171,8,2432.238542,3995.598332,3086.474621,2521.674088,2804.148154,1974.959542,1260.807582,1137.107755,1137.479683,1440.09095,1907.680342,2467.536622,1787.739602,3129.519141,2354.780173,2050.822348,1469.031829,2587.787282,1193.911174,1084.32425,635.7281832,1307.243422,2189.222503,2923.501528,,0,,35
395.1748962,395.1746863,395.1750749,745.2506104,744.9963379,745.5063477,13,10396.37508,6163.07018,9204.839624,12341.51626,15654.43886,6941.479614,288.4075746,107.5980814,204.5383041,8430.204919,14676.50031,19801.47457,11277.29889,18641.84395,10046.84551,11211.32216,5377.933372,8944.191403,469.0018988,231.6699332,224.3368111,28645.46706,23166.71691,27091.65025,[101][M]+,0,,133
395.1749016,395.1748623,395.1749831,722.3411255,722.1088867,723.1362915,5,7686.891372,2871.907082,7426.228362,7747.40417,16060.47103,5820.536488,346.384987,313.0570048,455.9617037,6066.033598,12452.54844,29032.73194,7131.811423,27489.17794,13750.04556,4550.012116,683.4863833,11917.49276,362.3345959,433.7200441,288.0938046,27124.61976,33638.37565,39197.0234,,0,,144
396.177957,396.1778106,396.1781034,745.3690491,745.2477417,745.4903564,2,2319.158558,789.4705901,2286.172064,2835.114729,3376.212597,338.8427982,156.1889118,323.789255,178.8742219,2052.19004,2882.735345,4117.448775,2462.588531,3894.150802,1351.765839,2329.357675,592.216786,1611.274571,173.3889752,200.2986564,233.3318128,6285.788815,5736.839139,6005.219731,[101][M+1]+,1,,133
400.8268768,400.826656,400.827045,68.56630707,67.97755432,69.13601685,17,5382.664855,6419.574252,5363.651829,4572.744179,4823.860658,3519.322323,2518.22951,2056.683185,1989.146579,2709.014987,2812.196686,4021.543352,3291.835956,4701.043677,4853.716602,3115.036394,2322.847312,4419.081734,1988.537545,2119.942914,1463.594071,2770.754887,3443.589638,5143.505324,,0,,35
402.8241007,402.8237512,402.8243464,68.51851654,67.97755432,69.13601685,13,4837.753046,5089.308237,4803.591799,3693.901839,4339.97159,3207.796271,2097.489561,1716.596818,1681.268275,1950.984782,3244.989349,3792.178861,2563.948113,4197.583862,4570.77415,2630.517986,1993.325575,4239.825686,1709.696387,1755.527138,1180.610172,2261.454062,2768.450156,4514.828456,,0,[M+H-C3H2O3]+ 487.811,35
406.6371983,406.6369925,406.6372424,818.6669312,818.378,818.9614868,3,7421.807639,8209.983891,6397.877416,7422.822477,6067.182995,6211.065705,8291.380533,6422.121878,9062.181511,15669.25866,17586.26671,18867.46172,7754.204125,8900.68309,9913.323768,9459.63101,6889.857579,7561.671197,6078.480028,10090.53711,9610.657261,6835.981919,5749.698778,8132.972486,,0,[M+2H]2+ 811.257,37
407.1384579,407.1384503,407.1386046,818.4450684,818.119,818.927063,3,5759.14484,3106.057412,2730.040132,5487.622722,3170.42637,3513.981849,5242.310092,3897.541957,4776.423674,7910.401591,8384.315001,8977.459471,3537.602675,3498.287921,3900.001347,4442.987981,5229.56679,1038.260779,4651.975716,4296.469939,3838.834756,3770.588826,6358.031688,4188.436028,,0,[M+2H]2+ 812.261,37
408.9183898,408.918074,408.91892,65.82091623,65.37042999,66.38069916,10,1444.184804,2634.143748,1481.880343,1905.251735,2137.733505,1971.019395,980.0890315,92.89742631,1264.191898,2129.057224,2209.279428,2663.842812,1348.177827,2647.297977,1729.269758,1307.02443,1659.840232,2090.360523,1165.643028,288.9315014,1015.419222,1129.061099,2535.564059,2605.679086,,0,[3M+3Na-H]2+ 249.957,162
409.6151898,409.6151515,409.6151905,831.2076416,830.9733887,831.2175903,3,9176.728901,11290.50386,8813.095308,6829.51807,7566.939832,2446.473489,2531.545139,5128.497595,4154.889311,3596.183777,3905.078151,3875.307873,7061.379255,6337.504611,4503.889007,4323.902787,3339.530701,5229.003979,4230.443572,3607.611724,3986.111606,3049.408674,1366.392646,4711.965342,,0,[M+2H]2+ 817.213,45
