row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Si11_35840.mzXML Peak area,Si11_35844.mzXML Peak area,Si11_35845.mzXML Peak area,Si11_35843.mzXML Peak area,Si11_35842.mzXML Peak area,Si11_35839.mzXML Peak area,Si11_35841.mzXML Peak area
345,559.131224131793,19.724838,,,,14,49,[M+Na]+,,4,345;336;350;351,536.14199,1355.6722,1157.1945,1086.5983,1181.6677,1169.9938,1471.9381,1296.6909
346,560.132022617252,19.724838,,,,14,46,[M+Na]+,,3,341;347;346,537.14269,674.7854,547.38257,523.7114,557.81793,580.56836,724.72095,633.771
347,576.105761857946,19.724838,,,,14,46,[M+K]+,,3,341;347;346,537.14269,232.10835,193.87769,176.0775,192.70988,181.78603,213.9101,208.93083
348,561.129780231629,19.72635,,,,14,47,[M+Na]+,,3,338;349;348,538.14042,452.34317,393.36606,348.66785,396.38275,393.06958,510.86035,419.8626
349,577.103426906292,19.72635,,,,14,47,[M+K]+,,3,338;349;348,538.14042,182.27998,161.35957,145.27838,159.73854,166.04436,191.07086,175.03265
350,575.105076314702,19.727848,,,,14,49,[M+K]+,,4,345;336;350;351,536.14199,445.87115,398.6224,375.0183,392.05487,410.488,458.23206,425.55444
351,554.175676855324,19.727884,,,,14,49,[M+NH4]+,,4,345;336;350;351,536.14199,190.59059,118.37154,109.343925,126.47384,124.31865,253.35121,166.50662
352,457.349933710149,19.733913,,,,14,,,,,,,313.5516,291.057,375.19513,360.5214,283.6399,332.98923,287.99042
353,413.32377853876,19.74447,,,,14,,,,,,,313.79565,335.3891,372.04788,422.706,383.46457,367.16052,305.74405
354,369.297621578021,19.753498,,,,14,,,,,,,407.3253,472.31787,381.96005,441.241,467.5557,419.57745,384.17065
355,325.271454236888,19.773056,,,,,,,,,,,372.40533,363.3876,348.69864,422.07367,393.27603,377.11462,333.18304
356,354.318946266137,19.826855,,,,,,,,,,,43.93259,440.5696,15.745997,49.909912,45.1195,113.89756,17.16843
