mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,PA14_Si11_10uM,PA14_Si11_4uM,PA14_Si11_8uM,ms_level,X1,X2,X3,X4,X5,X6,X7,X8,X9,isotopes,adduct,pcgroup
134.0362219,134.0361159,134.0363891,516.4448853,516.3179321,517.0836792,9,3,3,3,1,23962.61857,24438.38757,23789.7433,13468.96541,13062.3875,14179.18447,24074.60776,26585.983,26871.59457,,,14
135.1110531,135.0439234,135.1579274,507.3827972,507.178,507.895752,24,3,3,3,1,27664.17483,25235.06162,24667.71326,7967.803043,7353303.688,7515.99619,22019.63867,33424.74908,35474.85726,,[2M+Na+2K]3+ 152.213,8
135.0440284,135.0438841,135.0442093,85.435,85.17958832,85.70391846,9,3,3,3,1,126178.2211,126438.1064,130346.8309,37973.07445,41789.37142,46419.13542,100978.4834,110296.7834,128950.1057,,,31
135.3319705,135.3314982,135.4541242,507.4077148,507.178,507.6645813,15,3,3,3,1,8602.689053,8057.356632,8133.801167,34003.03832,34477.785,34356.69962,8468.126118,9154.005833,8240.325,,,8
136.0616545,136.0614981,136.0619157,85.43499756,85.18,85.70391846,9,3,3,3,1,28295.57092,28590.61667,28007.16743,31030.70405,26331.79311,31205.11515,31381.9694,31760.5862,33433.66191,,[M+H]+ 135.052,31
136.0474691,136.0473626,136.0476228,507.4077148,507.178009,507.6456909,9,3,3,3,1,1217899.731,1200574.303,1214314.4,655770.676,650186.9554,665189.0397,1133263.918,1205610.889,1211665.181,[8][M]+,,8
136.0756562,136.0754903,136.0758494,125.9288025,125.4235306,126.1875076,9,3,3,3,1,110066.5092,109077.0976,102799.8096,100152.4399,103257.2433,96963.75481,102456.3517,104100.2211,106991.2906,,[M+K+NH3]+ 80.086 [M+Na+NH3]+ 96.0599 [M+H+NH3]+ 118.042,70
136.0758114,136.0755368,136.0758583,116.3218689,113.5425797,117.1341476,5,3,0,2,1,67661.79937,65986.05949,66618.01474,54847.30097,63135.06716,72846.07441,54687.25271,59644.57848,71245.87717,,,135
136.0732985,136.0732956,136.0733208,5.170216084,4.931148529,5.472931862,3,3,0,0,1,93030.13784,97622.75498,96471.04927,NA,NA,NA,NA,NA,NA,,,299
137.0018591,137.0015063,137.045914,85.94943619,85.68440247,87.42546844,14,3,3,3,1,52878.44826,51452.33419,50899.39055,20747.16613,20060.95484,19903.70814,23881.85265,42939.21427,43242.69165,,[3M+H+K]2+ 78.0131,31
137.0494298,137.0493107,137.0495417,507.3578796,507.178009,507.6645813,9,3,3,3,1,94449.02518,94317.89814,95721.69032,53166.10548,53085.645,53451.96859,91565.58293,95070.93893,96875.24724,[8][M+1]+,,8
139.0129216,139.0126568,139.0130889,85.93103409,85.66924286,85.96118927,6,3,0,3,1,11754.98042,10660.43534,10162.31346,1748.071004,2734.79336,2787.380558,10127.55028,9829.872571,10374.63179,,[M+H-H2O]+ 156.029,31
