"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT0721",202.0777,680.1,NA,NA,"FT0746-CH3","FT0744_MS2 match; FT0747_MS2 match; FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0742",203.0853,680.2,NA,NA,"FT0747-CH3","FT0744_MS2 match; FT0747_MS2 match; FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0743",204.093,680.2,NA,NA,NA,"FT0744_MS2 match; FT0747_MS2 match; FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0351",205.0971,366.1,NA,NA,NA,"","","group31","corgroup105","+",""
"FT0744",205.101,680.2,NA,NA,"FT0751-trimethylamine","Precursor; FT0744_MS2 match; FT0748_MS2 match; FT0751_MS2 match","[31][M]+","group69","corgroup172","+",""
"FT0727",206.1046,680.2,NA,NA,NA,"FT0748_MS2 match; FT0751_MS2 match","[31][M+1]+","group69","corgroup172","+",""
"FT0761",207.0553,689.6,NA,NA,"FT0759-H2O","","","group70",NA,"",""
"FT0745",207.1168,680.2,NA,NA,NA,"FT0751_MS2 match","[31][M+2]+","group69","corgroup172","+",""
"FT0609",207.1591,564.3,NA,NA,NA,"","[32][M]+","group55","corgroup77","+",""
"FT0610",208.1627,564.3,NA,NA,NA,"","[32][M+1]+","group55","corgroup77","+",""
"FT0356",211.0866,387.9,NA,NA,NA,"","",NA,NA,"",""
"FT0988",212.1069,870.1,NA,NA,NA,"","",NA,"corgroup135","",""
"FT0713",213.1461,666.7,NA,NA,NA,"Precursor; FT0713_MS2 match","","group67",NA,"",""
"FT0235",214.0513,74.7,NA,NA,NA,"","",NA,"corgroup179","",""
"FT0219",216.0631,70.7,NA,NA,"FT0230-trimethylamine","","","group8","corgroup98","+",""
"FT0362",216.088,420.5,"Kinetin [M+H]+","[M+H]+ 215.0807",NA,"Precursor; FT0362_MS2 match","[33][M]+","group34","corgroup129","+",""
"FT0712",216.1383,665.7,NA,NA,NA,"","",NA,NA,"",""
"FT0203",216.9226,66.6,NA,NA,NA,"","",NA,"corgroup106","",""
"FT0497",217.0472,516.5,"Trans-Ferulic Acid [M+Na]+","[M+Na]+ 194.0579","FT0513-H2O","FT0519_MS2 match","[34][M]+","group43","corgroup146","+",""
"FT0365",217.0695,438.1,NA,NA,NA,"","",NA,NA,"",""
"FT0361",217.0909,420.5,NA,NA,NA,"FT0362_MS2 match","[33][M+1]+","group34","corgroup129","+",""
"FT0746",217.1012,680.2,NA,NA,NA,"FT0747_MS2 match; FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0340",217.1046,337.8,NA,NA,NA,"Precursor; FT0340_MS2 match","","group27","corgroup177","+",""
"FT0499",218.0506,516.6,NA,NA,NA,"","[34][M+1]+","group43","corgroup146","+",""
"FT1077",218.1023,916.1,NA,NA,NA,"FT1081_MS2 match; FT1082_MS2 match","","group131","corgroup132","+",""
"FT0747",218.109,680.2,NA,NA,"FT0748-CH3","Precursor; FT0747_MS2 match; FT0748_MS2 match; FT0751_MS2 match","[35][M]+","group69","corgroup172","+",""
"FT0613",218.2115,570.6,NA,NA,NA,"","",NA,NA,"",""
"FT0509",219.0524,516.6,NA,NA,NA,"","[34][M+2]+","group43","corgroup146","+",""
"FT0722",219.1125,680.1,NA,NA,NA,"FT0747_MS2 match; FT0748_MS2 match; FT0751_MS2 match","[35][M+1]+","group69","corgroup172","+",""
"FT0764",221.0808,697,NA,NA,NA,"","",NA,NA,"",""
"FT0355",223.0534,384.7,NA,NA,NA,"","",NA,NA,"",""
"FT0993",223.0636,880.9,NA,NA,NA,"","",NA,"corgroup143","",""
"FT0778",223.0637,733.2,NA,NA,NA,"","",NA,"corgroup140","",""
"FT0709",224.0817,640.5,NA,NA,NA,"","",NA,NA,"",""
"FT0759",225.066,689.6,NA,NA,NA,"","[36][M]+","group70",NA,"",""
"FT0762",226.0692,689.7,NA,NA,NA,"","[36][M+1]+","group70",NA,"",""
"FT0766",226.1801,701.1,NA,NA,"FT0768-H2O","","","group72","corgroup141","+",""
"FT0185",226.9515,65.6,NA,NA,NA,"Precursor; FT0177_MS2 match","","group6","corgroup106","+",""
"FT0880",228.1958,758.4,NA,NA,NA,"","",NA,"corgroup217","",""
"FT0663",229.1338,623.9,NA,NA,"FT0633-COOH; FT0665-CO; FT0672-HCOOH(H2+CO2 or H2O+CO); FT0691-CO2","Precursor; FT0663_MS2 match; FT0665_MS2 match; FT0667_MS2 match; FT0668_MS2 match; FT0672_MS2 match; FT0681_MS2 match; FT0692_MS2 match","[37][M]+","group57","corgroup133","+",""
"FT0607",229.1411,564.1,NA,NA,NA,"Precursor; FT0607_MS2 match","[38][M]+","group54","corgroup77","+",""
"FT0537",229.5714,537.2,NA,NA,NA,"","",NA,"corgroup157","",""
"FT0800",230.0938,750.4,NA,"[M]+ 230.0943",NA,"","","group79","corgroup127","+",""
"FT0664",230.137,623.9,NA,NA,NA,"FT0663_MS2 match; FT0668_MS2 match; FT0672_MS2 match","[37][M+1]+","group57","corgroup133","+",""
"FT0608",230.1445,564.1,NA,NA,NA,"FT0607_MS2 match","[38][M+1]+","group54","corgroup77","+",""
"FT0819",231.1017,750.5,"Naproxen [M+H]+","[M+H]+ 230.0943","FT0835-NH3","Precursor; FT0819_MS2 match; FT0821_MS2 match","[39][M]+","group79","corgroup127","+",""
"FT0726",231.1169,680.2,NA,NA,NA,"FT0748_MS2 match; FT0751_MS2 match","","group69","corgroup172","+",""
"FT0644",231.1403,623.8,NA,NA,NA,"FT0668_MS2 match; FT0672_MS2 match","[37][M+2]+","group57","corgroup133","+",""
"FT0250",231.6135,81.6,NA,NA,NA,"","",NA,"corgroup4","",""
"FT1121",232.0968,938.8,NA,NA,NA,"","","group140","corgroup128","+",""
"FT0820",232.1051,750.5,NA,NA,NA,"FT0819_MS2 match","[39][M+1]+","group79","corgroup127","+",""
